,UniProt ID,PDB ID,pdbid,membrane_name_cache
0,P0A910,PDB IDs: 1qjp,1qjp,Gram-neg. outer
1,P0A917,PDB IDs: 1qj8,1qj8,Gram-neg. outer
2,Q9RP17,PDB IDs: 1p4t,1p4t,Gram-neg. outer
4,P17811,PDB IDs: 2x55,2x55,Gram-neg. outer
5,Q51227,PDB IDs: 1k24,1k24,Gram-neg. outer
6,E6MVD9,PDB IDs: 1uyn,1uyn,Gram-neg. outer
7,P0A921,PDB IDs: 1qd6,1qd6,Gram-neg. outer
8,P0A927,PDB IDs: 1tly,1tly,Gram-neg. outer
9,P10384,PDB IDs: 3pgs,3pgs,Gram-neg. outer
10,P02931,PDB IDs: 3pox,3pox,Gram-neg. outer
11,Q48473,PDB IDs: 1osm,1osm,Gram-neg. outer
12,P24305,PDB IDs: 2fgq,2fgq,Gram-neg. outer
13,P31243,PDB IDs: 2por,2por,Gram-neg. outer
14,P39767,PDB IDs: 3prn,3prn,Gram-neg. outer
15,P02943,PDB IDs: 1af6,1af6,Gram-neg. outer
16,P26466,PDB IDs: 2mpr,2mpr,Gram-neg. outer
17,P22340,PDB IDs: 1a0s,1a0s,Gram-neg. outer
18,P06971,PDB IDs: 1qfg,1qfg,Gram-neg. outer
19,P05825,PDB IDs: 1fep,1fep,Gram-neg. outer
20,P13036,PDB IDs: 1kmo,1kmo,Gram-neg. outer
21,P06129,PDB IDs: 1nqe,1nqe,Gram-neg. outer
22,P48632,PDB IDs: 2iah,2iah,Gram-neg. outer
23,P02930,PDB IDs: 1ek9,1ek9,Gram-neg. outer
24,Q9KS51,PDB IDs: 1yc9,1yc9,Gram-neg. outer
25,Q51487,PDB IDs: 1wp1,1wp1,Gram-neg. outer
28,P37019,PDB IDs: 1ots,1ots,Gram-neg. inner
29,F2Z293,PDB IDs: 3pl9,3pl9,Thylakoid
30,Q8ZRP8,PDB IDs: 1kpl,1kpl,Gram-neg. inner
31,G1UBD1,PDB IDs: 1yew,1yew,Gram-neg. inner
32,P0C0S1,PDB IDs: 2oau,2oau,Gram-neg. inner
33,P9WJN5,PDB IDs: 2oar,2oar,Gram-pos. inner
34,P60844,PDB IDs: 2o9g,2o9g,Gram-neg. inner
35,P0AER0,PDB IDs: 1ldf,1ldf,Gram-neg. inner
36,P69681,PDB IDs: 1u7g,1u7g,Gram-neg. inner
37,Q6J8I9,PDB IDs: 2b6p,2b6p,Eykaryo. plasma
38,P02920,PDB IDs: 2cfp,2cfp,Gram-neg. inner
39,P08194,PDB IDs: 1pw4,1pw4,Gram-neg. inner
40,P06611,PDB IDs: 1l7v,1l7v,Gram-neg. inner
41,P26790,PDB IDs: 1nkz,1nkz,Thylakoid
42,P35089,PDB IDs: 1ijd,1ijd,Thylakoid
43,P95673,PDB IDs: 1lgh,1lgh,Thylakoid
44,P12333,PDB IDs: 1rwt,1rwt,Thylakoid
45,Q93RD8,PDB IDs: 1eys,1eys,Thylakoid
46,P0C0Y9,PDB IDs: 1l9b,1l9b,Thylakoid
47,P06008,PDB IDs: 1dxr,1dxr,Thylakoid
48,P33517,PDB IDs: 1m56,1m56,Gram-neg. inner
49,P08306,PDB IDs: 1qle,1qle,Gram-neg. inner
50,F1NHE9,PDB IDs: 3spc,3spc,Eykaryo. plasma
51,P0ABI8,PDB IDs: 1fft,1fft,Gram-neg. inner
52,P0AAJ3,PDB IDs: 1kqf,1kqf,Gram-neg. inner
53,P11349,PDB IDs: 1q16,1q16,Gram-neg. inner
54,P0A8Q0,PDB IDs: 1kf6,1kf6,Gram-neg. inner
55,P02711,PDB IDs: 4aq9,4aq9,Eykaryo. plasma
56,P07014,PDB IDs: 1nek,1nek,Gram-neg. inner
57,P01868,PDB IDs: 1r3j,1r3j,Gram-pos. inner
58,P01837,PDB IDs: 1s5h,1s5h,Gram-pos. inner
59,P83698,PDB IDs: 1p7b,1p7b,Gram-neg. inner
60,Q8YSC4,PDB IDs: 1xio,1xio,Gram-neg. inner
61,Q8TTZ4,PDB IDs: 3d31,3d31,Archaebac.
62,Q72LA4,PDB IDs: 2vpz,2vpz,Gram-neg. inner
63,P02699,PDB IDs: 3cap,3cap,Eykaryo. plasma
64,P15319,PDB IDs: 6cd2,6cd2,Gram-neg. outer
65,P68699,PDB IDs: 1a91,1a91,Gram-neg. inner
66,P0AB98,PDB IDs: 1c17,1c17,Gram-neg. inner
67,Q8KRV3,PDB IDs: 1yce,1yce,Gram-neg. inner
68,P43457,PDB IDs: 2bl2,2bl2,Gram-pos. inner
69,Q60175,PDB IDs: 1rh5,1rh5,Archaebac.
70,P01869,PDB IDs: 1ors,1ors,Archaebac.
71,P01865,PDB IDs: 1orq,1orq,Archaebac.
72,P02945,PDB IDs: 1m0l,1m0l,Archaebac.
73,P42196,PDB IDs: 1h2s,1h2s,Archaebac.
74,B0R2U4,PDB IDs: 1e12,1e12,Archaebac.
75,P69051,PDB IDs: 1uaz,1uaz,Archaebac.
76,P49728,PDB IDs: 1q90,1q90,Thylakoid
77,O00168,PDB IDs: 2jo1,2jo1,Eykaryo. plasma
78,P0A407,PDB IDs: 1jb0,1jb0,Thylakoid
79,P68530,PDB IDs: 2dyr,2dyr,Mitochon. inner
80,P60063,PDB IDs: 3l1l,3l1l,Gram-neg. inner
81,P13272,PDB IDs: 1l0l,1l0l,Mitochon. inner
82,P08525,PDB IDs: 3cx5,3cx5,Mitochon. inner
83,P02722,PDB IDs: 1okc,1okc,Mitochon. inner
84,P47865,PDB IDs: 1j4n,1j4n,Eykaryo. plasma
85,P06624,PDB IDs: 1ymg,1ymg,Eykaryo. plasma
86,P02724,PDB IDs: 1afo,1afo,Eykaryo. plasma
87,P04191,PDB IDs: 3ar2,3ar2,Endoplasm. reticulum
88,P08842,PDB IDs: 1p49,1p49,Endoplasm. reticulum
91,O14684,PDB IDs: 4yl3,4yl3,Endoplasm. reticulum
