pdbid,label
6i97,Gram-neg. outer
3gp6,Gram-neg. outer
6s8h,Gram-neg. inner
7qkr,Eykaryo. plasma
2k74,Gram-neg. inner
5zih,Eykaryo. plasma
6lo8,Mitochon. inner
5fl7,Mitochon. inner
2mgy,Mitochon. outer
6rv2,Eykaryo. plasma
7f61,Eykaryo. plasma
6u8y,Archaebac.
6k6k,Gram-neg. inner
2lzl,Eykaryo. plasma
6d26,Eykaryo. plasma
7wwb,Eykaryo. plasma
5f1c,Eykaryo. plasma
3rvy,Gram-neg. inner
4gey,Gram-neg. outer
2h88,Mitochon. inner
1mhs,Eykaryo. plasma
5hk1,Endoplasm. reticulum
3wkv,Eykaryo. plasma
5n6m,Gram-neg. inner
2qi9,Gram-neg. inner
7deg,Gram-neg. inner
6qti,Mitochon. inner
3ohn,Gram-neg. outer
2nq2,Gram-neg. inner
3qf4,Gram-neg. inner
7nib,Gram-neg. inner
7qvm,Eykaryo. plasma
6cfw,Archaebac.
7cg4,Gram-neg. inner
6zmq,Gram-neg. inner
2jln,Gram-pos. inner
2qks,Gram-neg. inner
2k9p,Eykaryo. plasma
6tmh,Mitochon. inner
7s9y,Gram-neg. inner
7zgx,Gram-neg. outer
7wq3,Eykaryo. plasma
5fok,Gram-neg. outer
6sgw,Gram-pos. inner
2m6x,Endoplasm. reticulum
7sa3,Thylakoid
4tq4,Archaebac.
3beh,Gram-neg. inner
3jc2,Endoplasm. reticulum
3v89,Gram-neg. outer
6qc6,Mitochon. inner
2qjy,Gram-neg. inner
5tv4,Gram-neg. inner
2yiu,Gram-neg. inner
6s3r,Gram-neg. inner
3k07,Gram-neg. inner
4w6v,Gram-neg. inner
7ahc,Gram-pos. inner
4rdr,Gram-neg. outer
3wbn,Archaebac.
6lmt,Eykaryo. plasma
6f7h,Eykaryo. plasma
4v7i,Gram-neg. inner
6zhg,Gram-pos. inner
7c77,Endoplasm. reticulum
4cg5,Endoplasm. reticulum
6s3l,Gram-neg. inner
5a2n,Eykaryo. plasma
6pnj,Thylakoid
1afo,Eykaryo. plasma
6z1r,Mitochon. inner
6eus,Gram-neg. outer
6l47,Endoplasm. reticulum
1zcd,Gram-neg. inner
2bbj,Gram-neg. inner
6fv6,Gram-neg. inner
5l22,Gram-neg. inner
2wjr,Gram-neg. outer
6fwf,Gram-neg. inner
6g1k,Eykaryo. plasma
4gc0,Gram-neg. inner
3c02,Eykaryo. plasma
6qd5,Eykaryo. plasma
7piv,Eykaryo. plasma
2oar,Gram-pos. inner
2mi2,Gram-neg. inner
4n4r,Gram-neg. outer
7xat,Eykaryo. plasma
7czl,Thylakoid
7jro,Mitochon. inner
4xt3,Eykaryo. plasma
3aqp,Gram-neg. inner
3j7r,Endoplasm. reticulum
7met,Gram-neg. inner
5och,Mitochon. inner
6r2q,Gram-neg. outer
4k0e,Gram-neg. inner
4huq,Gram-pos. inner
6ei3,Gram-neg. inner
6hcp,Gram-neg. outer
7aqq,Mitochon. inner
5y50,Eykaryo. plasma
2kse,Gram-neg. inner
1rkl,Endoplasm. reticulum
6xkz,Gram-neg. inner
7mbz,Gram-neg. inner
6sln,Gram-neg. outer
6x6k,Gram-neg. outer
6ksp,Eykaryo. plasma
7cff,Gram-neg. inner
6kmw,Thylakoid
5xno,Thylakoid
6tqe,Gram-pos. inner
6oce,Eykaryo. plasma
7pij,Gram-pos. inner
6w4s,Eykaryo. plasma
5kua,Gram-neg. inner
5f15,Gram-neg. inner
1xio,Gram-neg. inner
7d5q,Gram-pos. inner
6xiw,Eykaryo. plasma
4dkl,Eykaryo. plasma
2lck,Mitochon. inner
5jsi,Gram-pos. inner
6c3o,Eykaryo. plasma
4phu,Eykaryo. plasma
3wi4,Gram-neg. outer
5fgn,Gram-neg. inner
6ov2,Eykaryo. plasma
6rtc,Eykaryo. plasma
2n7i,Eykaryo. plasma
6wi9,Eykaryo. plasma
6lcp,Eykaryo. plasma
6me7,Eykaryo. plasma
4k3b,Gram-neg. outer
6r6b,Gram-neg. inner
3hd6,Eykaryo. plasma
6rx4,Gram-neg. inner
5kbw,Gram-neg. inner
7a23,Mitochon. inner
8ef5,Eykaryo. plasma
3b5x,Gram-neg. inner
7ojf,Gram-neg. outer
6n51,Eykaryo. plasma
4q65,Gram-neg. inner
6caa,Eykaryo. plasma
5u70,Eykaryo. plasma
5o65,Gram-neg. outer
3s8g,Gram-neg. inner
3rfu,Gram-neg. inner
4hw9,Gram-neg. inner
4f4c,Eykaryo. plasma
7s4m,Gram-neg. inner
4hum,Gram-neg. inner
7dl9,Gram-neg. inner
