pdbid,label
3j5p,Eykaryo. plasma
5fgn,Gram-neg. inner
2lme,Gram-neg. outer
5nv9,Gram-neg. inner
6ysf,Gram-pos. inner
7d3e,Eykaryo. plasma
5lxg,Eykaryo. plasma
3tgu,Mitochon. inner
4nef,Eykaryo. plasma
7f9y,Eykaryo. plasma
7o0y,Gram-neg. inner
6vp0,Endoplasm. reticulum
5oy0,Thylakoid
6e9c,Gram-neg. inner
2x72,Eykaryo. plasma
6xkz,Gram-neg. inner
5zji,Thylakoid
7mew,Gram-neg. inner
7t6t,Eykaryo. plasma
7zgx,Gram-neg. outer
5kbw,Gram-neg. inner
1pw4,Gram-neg. inner
4k0e,Gram-neg. inner
6kg7,Eykaryo. plasma
7cr0,Eykaryo. plasma
7ahc,Gram-pos. inner
3vw7,Eykaryo. plasma
5uar,Eykaryo. plasma
2kb7,Endoplasm. reticulum
3llq,Gram-neg. inner
6ysl,Gram-pos. inner
3b8e,Eykaryo. plasma
7try,Eykaryo. plasma
4il3,Endoplasm. reticulum
7w3y,Eykaryo. plasma
7ks0,Eykaryo. plasma
7tpg,Gram-neg. inner
5o0t,Gram-neg. inner
4v6m,Gram-neg. inner
2m0q,Eykaryo. plasma
2m6x,Endoplasm. reticulum
6wj6,Thylakoid
3fhh,Gram-neg. outer
6jbh,Gram-pos. inner
7uea,Gram-neg. inner
6pep,Gram-neg. inner
6wwz,Eykaryo. plasma
1s5h,Gram-pos. inner
7n4x,Eykaryo. plasma
6mg8,Eykaryo. plasma
6eus,Gram-neg. outer
6v81,Gram-neg. outer
5lcb,Gram-neg. inner
6a2w,Thylakoid
7tyh,Eykaryo. plasma
8e9g,Gram-pos. inner
3jcu,Thylakoid
7ksq,Thylakoid
7lep,Eykaryo. plasma
6lm1,Gram-neg. inner
6wuh,Mitochon. outer
5fl7,Mitochon. inner
2nq2,Gram-neg. inner
6nwd,Gram-neg. inner
6xmp,Endoplasm. reticulum
5kk2,Eykaryo. plasma
7wq3,Eykaryo. plasma
7s9y,Gram-neg. inner
4xtl,Gram-neg. inner
2mc7,Gram-neg. inner
6hrc,Gram-neg. inner
3qlb,Gram-neg. outer
3njt,Gram-neg. outer
6mhy,Eykaryo. plasma
6wm5,Gram-pos. inner
5lil,Gram-neg. inner
2vdf,Gram-neg. outer
3beh,Gram-neg. inner
6ith,Eykaryo. plasma
7np3,Eykaryo. plasma
4zwj,Eykaryo. plasma
5l25,Eykaryo. plasma
4gd3,Gram-neg. inner
7ckr,Eykaryo. plasma
6rwy,Gram-neg. inner
6ys8,Gram-neg. inner
6sss,Endoplasm. reticulum
5uen,Eykaryo. plasma
6irs,Eykaryo. plasma
7wi6,Eykaryo. plasma
2ks1,Eykaryo. plasma
2dyr,Mitochon. inner
7fig,Eykaryo. plasma
3rvy,Gram-neg. inner
7jna,Eykaryo. plasma
3bs0,Gram-neg. outer
5azd,Gram-neg. inner
5mdr,Gram-neg. outer
7d76,Eykaryo. plasma
6tt7,Mitochon. inner
7mpa,Endoplasm. reticulum
3j45,Gram-neg. inner
6cse,Archaebac.
6gs4,Gram-neg. inner
5t77,Gram-neg. inner
7k7a,Eykaryo. plasma
7ssv,Eykaryo. plasma
7ddz,Eykaryo. plasma
2por,Gram-neg. outer
7bp3,Eykaryo. plasma
4pl0,Gram-neg. inner
7w7g,Eykaryo. plasma
2los,Mitochon. inner
6r69,Gram-neg. inner
4hyj,Gram-pos. inner
6k1h,Gram-neg. inner
4aip,Gram-neg. outer
7eeb,Eykaryo. plasma
1wrg,Thylakoid
3j08,Archaebac.
2iwv,Gram-neg. outer
4dve,Gram-pos. inner
5vkq,Eykaryo. plasma
4uc1,Gram-neg. inner
5vkv,Gram-neg. inner
3kg2,Eykaryo. plasma
4jr9,Gram-neg. inner
4rl8,Gram-neg. outer
3rqw,Gram-neg. inner
7vd6,Thylakoid
6giq,Mitochon. inner
6ijo,Thylakoid
2l34,Eykaryo. plasma
5y83,Gram-neg. inner
2ksd,Gram-neg. inner
4cad,Archaebac.
6m32,Gram-neg. inner
4a2n,Archaebac.
4fqe,Gram-neg. outer
6p6i,Gram-neg. inner
4v7i,Gram-neg. inner
6vja,Eykaryo. plasma
6s3k,Gram-pos. inner
3wkv,Eykaryo. plasma
6ykm,Gram-neg. inner
5gae,Gram-neg. inner
7o0u,Gram-neg. inner
3vvk,Archaebac.
6p9y,Eykaryo. plasma
7byl,Eykaryo. plasma
7l0s,Eykaryo. plasma
4nv6,Gram-neg. inner
3csl,Gram-neg. outer
6lmt,Eykaryo. plasma
7dys,Eykaryo. plasma
5l8r,Thylakoid
5ktf,Eykaryo. plasma
2bl2,Gram-pos. inner
6bwf,Eykaryo. plasma
7mde,Gram-neg. inner
6mjp,Gram-neg. inner
7e1v,Gram-pos. inner
6r6b,Gram-neg. inner
5wq8,Gram-neg. outer
6sgw,Gram-pos. inner
5sv9,Eykaryo. plasma
6qkc,Eykaryo. plasma
3rko,Gram-neg. inner
3b5x,Gram-neg. inner
5iv9,Gram-neg. outer
7b7o,Thylakoid
5sv0,Gram-neg. inner
1nek,Gram-neg. inner
5o78,Gram-neg. outer
5b2g,Eykaryo. plasma
7zou,Gram-neg. inner
5tcq,Gram-neg. outer
2onk,Archaebac.
4rl9,Gram-neg. outer
2maw,Eykaryo. plasma
2bs2,Gram-neg. inner
6m49,Endoplasm. reticulum
7wff,Thylakoid
6fuf,Eykaryo. plasma
7mhz,Endoplasm. reticulum
7ccs,Eykaryo. plasma
6q53,Thylakoid
5edl,Gram-pos. inner
7rsl,Endoplasm. reticulum
4uv3,Gram-neg. outer
7kh0,Eykaryo. plasma
